open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1672524000000,1200.09000000,1200.10000000,1199.86000000,1199.86,149.7717,1672524299999,179715.69434500,533,30.50560000,36603.53997400,0
1672524300000,1199.87000000,1200.42000000,1199.86000000,1200.42,299.4847,1672524599999,359406.72770000,679,190.98250000,229196.33214400,0
1672524600000,1200.41000000,1201.11000000,1200.41000000,1200.89,578.5987,1672524899999,694796.64992900,840,260.10600000,312295.79961900,0
1672524900000,1200.88000000,1200.89000000,1197.70000000,1198.48,1712.2709,1672525199999,2052247.10096700,1672,821.21200000,984178.10581100,0
1672525200000,1198.47000000,1199.08000000,1198.36000000,1198.92,643.9946,1672525499999,772027.34960100,1112,309.50230000,371054.53274700,0
1672525500000,1198.91000000,1199.84000000,1198.91000000,1199.26,485.3692,1672525799999,582110.05981200,842,202.51010000,242860.38947000,0
1672525800000,1199.26000000,1199.94000000,1198.37000000,1198.79,1306.6053,1672526099999,1566655.21733000,1120,522.27780000,626231.70741900,0
1672526100000,1198.79000000,1199.50000000,1197.97000000,1198.56,787.2027,1672526399999,943768.39211800,975,396.50490000,475355.95689200,0
1672526400000,1198.55000000,1198.74000000,1197.75000000,1197.89,595.8376,1672526699999,713968.92909500,965,293.03550000,351143.26223900,0
1672526700000,1197.89000000,1197.89000000,1196.20000000,1196.21,425.5751,1672526999999,509418.06463700,1054,139.34810000,166787.04643800,0
1672527000000,1196.20000000,1196.63000000,1193.08000000,1195.87,1947.6959,1672527299999,2327400.95444900,2537,718.14260000,858112.00311900,0
1672527300000,1195.87000000,1196.37000000,1195.77000000,1196.19,617.0729,1672527599999,738005.22205500,912,367.61870000,439654.16793600,0
1672527600000,1196.18000000,1196.19000000,1194.39000000,1194.76,899.3619,1672527899999,1074995.44834700,1264,534.00360000,638264.27107900,0
1672527900000,1194.76000000,1195.53000000,1193.60000000,1194.1,837.7012,1672528199999,1000766.76315300,1076,308.26750000,368315.21224500,0
1672528200000,1194.09000000,1195.58000000,1193.63000000,1195.57,744.6849,1672528499999,889352.63426300,1137,496.48210000,592960.42090000,0
1672528500000,1195.58000000,1196.70000000,1195.57000000,1196.4,837.6163,1672528799999,1001962.87632800,1442,499.79030000,597848.08800900,0
1672528800000,1196.39000000,1196.40000000,1195.28000000,1195.6,530.8355,1672529099999,634843.63425300,1090,295.35940000,353209.76799400,0
1672529100000,1195.60000000,1195.69000000,1194.98000000,1195.68,291.1927,1672529399999,348084.39169100,614,106.61900000,127437.25647200,0
1672529400000,1195.68000000,1196.67000000,1195.02000000,1196.53,384.5302,1672529699999,459831.65334500,850,259.61500000,310437.47523300,0
1672529700000,1196.53000000,1197.43000000,1196.53000000,1197.11,324.2904,1672529999999,388240.37640500,846,116.56240000,139541.10366600,0
1672530000000,1197.12000000,1197.12000000,1196.68000000,1196.81,238.5048,1672530299999,285455.69955800,706,147.55620000,176595.71222200,0
1672530300000,1196.82000000,1196.99000000,1196.20000000,1196.38,230.2441,1672530599999,275498.25771100,652,135.38270000,161973.97815500,0
1672530600000,1196.38000000,1196.42000000,1195.87000000,1196.41,157.6929,1672530899999,188624.27322300,532,113.02120000,135187.01172200,0
1672530900000,1196.41000000,1196.42000000,1195.42000000,1196.13,450.7771,1672531199999,539058.35821700,820,250.39260000,299421.92442400,0
1672531200000,1196.13000000,1196.32000000,1195.65000000,1196.32,334.5592,1672531499999,400115.31516200,1202,123.31410000,147471.99332800,0
1672531500000,1196.31000000,1196.69000000,1194.90000000,1195.38,682.3876,1672531799999,815828.85764400,1318,205.89300000,246115.73358200,0
1672531800000,1195.38000000,1195.81000000,1194.55000000,1194.55,228.9387,1672532099999,273642.10976000,1170,126.07550000,150692.20302900,0
1672532100000,1194.55000000,1195.98000000,1194.31000000,1195.98,601.8903,1672532399999,719191.80951700,1373,220.30920000,263266.53921600,0
1672532400000,1195.98000000,1196.37000000,1195.97000000,1196.06,144.8048,1672532699999,173217.27703900,1120,77.89970000,93182.76893600,0
1672532700000,1196.06000000,1196.70000000,1196.06000000,1196.61,394.9124,1672532999999,472501.53461500,1054,150.43910000,179990.67145300,0
1672533000000,1196.62000000,1196.62000000,1193.72000000,1194.36,497.8406,1672533299999,595097.37631500,1388,122.03490000,145798.83218500,0
1672533300000,1194.37000000,1194.43000000,1192.72000000,1194.22,1299.5971,1672533599999,1551143.37348300,1987,604.55330000,721490.05995300,0
1672533600000,1194.22000000,1194.22000000,1193.02000000,1193.64,409.5032,1672533899999,488742.46730000,1399,217.56530000,259627.10591500,0
1672533900000,1193.64000000,1195.06000000,1193.63000000,1194.64,521.0221,1672534199999,622249.61912300,1431,332.33240000,396864.16401900,0
1672534200000,1194.65000000,1195.06000000,1194.19000000,1194.82,486.7733,1672534499999,581485.05761400,1152,259.93810000,310518.53463800,0
1672534500000,1194.82000000,1195.04000000,1194.09000000,1194.09,287.1547,1672534799999,343014.86520600,1238,110.47480000,131953.09114100,0
1672534800000,1194.09000000,1194.84000000,1193.84000000,1194.1,389.7127,1672535099999,465454.16668700,902,117.49660000,140313.17646500,0
1672535100000,1194.11000000,1195.75000000,1194.10000000,1195.69,500.1684,1672535399999,597712.54115500,755,364.83940000,435961.24616800,0
1672535400000,1195.70000000,1195.75000000,1195.38000000,1195.38,285.9199,1672535699999,341821.72645400,749,54.07340000,64647.27971900,0
1672535700000,1195.38000000,1195.49000000,1195.23000000,1195.38,113.75,1672535999999,135973.55949400,536,74.77080000,89377.79779200,0
1672536000000,1195.37000000,1195.61000000,1195.01000000,1195.6,248.5874,1672536299999,297100.34697900,678,135.45880000,161889.30532600,0
1672536300000,1195.60000000,1195.61000000,1195.29000000,1195.45,171.7727,1672536599999,205333.82408800,573,64.08990000,76610.84992000,0
1672536600000,1195.45000000,1195.47000000,1195.13000000,1195.14,212.3066,1672536899999,253765.65952800,546,92.93410000,111081.55850400,0
1672536900000,1195.14000000,1195.58000000,1194.72000000,1194.73,363.2838,1672537199999,434159.79370800,775,208.06590000,248649.45896500,0
1672537200000,1194.73000000,1195.32000000,1194.72000000,1194.92,239.9588,1672537499999,286771.00817400,645,125.60580000,150103.79443700,0
1672537500000,1194.92000000,1195.54000000,1194.92000000,1195.53,112.1893,1672537799999,134090.29961700,518,83.44830000,99740.79779500,0
1672537800000,1195.54000000,1195.70000000,1195.26000000,1195.35,209.0755,1672538099999,249936.98445600,720,124.60100000,148944.13523200,0
1672538100000,1195.35000000,1196.37000000,1195.35000000,1196.02,310.4828,1672538399999,371355.08423900,848,138.48750000,165620.38250600,0
1672538400000,1196.01000000,1196.02000000,1194.11000000,1194.21,1109.8181,1672538699999,1325894.16649700,1192,417.41270000,498606.06346200,0
1672538700000,1194.21000000,1194.37000000,1194.20000000,1194.37,119.582,1672538999999,142813.79760500,549,69.89840000,83477.28292400,0
1672539000000,1194.36000000,1195.44000000,1194.12000000,1195.22,466.104,1672539299999,556779.23601300,793,258.39160000,308651.91595100,0
1672539300000,1195.21000000,1195.38000000,1195.02000000,1195.33,121.8827,1672539599999,145667.89764200,685,84.16310000,100585.92849600,0
1672539600000,1195.33000000,1195.64000000,1195.18000000,1195.38,375.6097,1672539899999,449015.76395900,745,185.46260000,221706.82493500,0
1672539900000,1195.38000000,1196.13000000,1195.38000000,1196.12,277.6175,1672540199999,331985.16682600,784,148.17540000,177176.79315300,0
1672540200000,1196.13000000,1196.74000000,1196.05000000,1196.74,307.8162,1672540499999,368259.49757100,789,217.30270000,259972.81353700,0
1672540500000,1196.74000000,1196.74000000,1195.90000000,1195.9,251.8358,1672540799999,301282.02045800,595,61.29030000,73303.70074000,0
1672540800000,1195.90000000,1195.91000000,1195.27000000,1195.27,186.282,1672541099999,222738.79948100,557,41.12550000,49169.84289400,0
1672541100000,1195.28000000,1195.71000000,1195.27000000,1195.66,175.9713,1672541399999,210381.30155900,583,139.41540000,166674.08354200,0
1672541400000,1195.66000000,1195.72000000,1195.44000000,1195.45,168.7489,1672541699999,201762.11124800,495,18.13580000,21683.20714100,0
1672541700000,1195.45000000,1195.45000000,1195.33000000,1195.4,190.7794,1672541999999,228052.41709500,610,130.95960000,156543.51598300,0
1672542000000,1195.41000000,1195.41000000,1192.28000000,1193.09,2370.9138,1672542299999,2829582.84344900,2127,877.46660000,1046939.11556200,0
1672542300000,1193.09000000,1193.57000000,1192.85000000,1193.57,504.5429,1672542599999,602072.87340800,737,312.38430000,372785.01894100,0
1672542600000,1193.57000000,1193.57000000,1193.13000000,1193.2,547.3963,1672542899999,653206.18170600,713,294.39340000,351284.28465500,0
1672542900000,1193.19000000,1193.20000000,1191.71000000,1191.95,970.4698,1672543199999,1157000.91895900,1143,394.02640000,469737.20068800,0
1672543200000,1191.95000000,1193.40000000,1191.94000000,1193.39,844.1259,1672543499999,1006941.56676700,908,495.20310000,590719.99637600,0
1672543500000,1193.40000000,1193.40000000,1193.23000000,1193.38,447.5458,1672543799999,534081.28846300,608,192.33210000,229522.08877600,0
1672543800000,1193.39000000,1193.51000000,1193.17000000,1193.41,390.0136,1672544099999,465391.76630200,599,261.21200000,311696.88508700,0
1672544100000,1193.40000000,1193.87000000,1193.31000000,1193.86,363.2534,1672544399999,433509.17465800,724,115.30630000,137610.47288800,0
1672544400000,1193.87000000,1194.00000000,1193.82000000,1194.0,170.7127,1672544699999,203810.05819400,590,95.98510000,114593.76160300,0
1672544700000,1194.00000000,1194.04000000,1193.81000000,1194.04,365.0858,1672544999999,435885.47108500,882,146.72520000,175174.27390500,0
1672545000000,1194.03000000,1194.39000000,1193.75000000,1194.39,372.1328,1672545299999,444316.36975300,643,186.91280000,223165.73493500,0
1672545300000,1194.38000000,1194.39000000,1193.95000000,1194.04,147.2279,1672545599999,175808.31622300,570,37.60190000,44896.67315000,0
1672545600000,1194.05000000,1194.05000000,1193.45000000,1193.79,293.0878,1672545899999,349850.00881400,641,87.85530000,104863.53310800,0
1672545900000,1193.79000000,1193.80000000,1192.79000000,1192.8,683.0045,1672546199999,814951.87554700,970,398.31630000,475222.26997600,0
1672546200000,1192.79000000,1193.25000000,1192.63000000,1192.64,604.1469,1672546499999,720685.03273300,884,245.03430000,292304.45480500,0
1672546500000,1192.63000000,1192.85000000,1192.24000000,1192.51,572.2462,1672546799999,682439.19409800,966,258.61070000,308400.38717800,0
1672546800000,1192.51000000,1192.62000000,1190.57000000,1192.18,2255.5979,1672547099999,2687511.10805300,1767,783.46510000,933522.32056200,0
1672547100000,1192.18000000,1192.80000000,1192.17000000,1192.18,224.3753,1672547399999,267571.40027400,632,119.57720000,142601.81783100,0
1672547400000,1192.18000000,1192.25000000,1192.16000000,1192.25,96.6997,1672547699999,115283.39158200,547,62.14270000,74085.85425200,0
1672547700000,1192.24000000,1192.93000000,1192.24000000,1192.87,429.6446,1672547999999,512435.83191600,718,316.08680000,376988.35926000,0
1672548000000,1192.87000000,1192.87000000,1192.03000000,1192.04,216.2647,1672548299999,257902.86727500,619,52.77190000,62939.69996300,0
1672548300000,1192.03000000,1192.27000000,1192.03000000,1192.26,166.4149,1672548599999,198391.61599400,703,100.90740000,120296.36796100,0
1672548600000,1192.27000000,1192.87000000,1192.19000000,1192.44,470.1077,1672548899999,560612.10829500,898,214.76930000,256109.42555300,0
1672548900000,1192.45000000,1192.93000000,1191.98000000,1192.92,397.6589,1672549199999,474212.44764800,866,192.78690000,229890.23290500,0
1672549200000,1192.92000000,1193.35000000,1192.71000000,1193.35,205.5746,1672549499999,245239.86809100,713,162.71040000,194102.00913200,0
1672549500000,1193.35000000,1193.53000000,1193.14000000,1193.15,178.1999,1672549799999,212663.44361600,536,91.64930000,109373.14431400,0
1672549800000,1193.15000000,1193.34000000,1192.98000000,1193.29,230.8151,1672550099999,275400.71022000,607,102.90100000,122777.86858300,0
1672550100000,1193.29000000,1193.72000000,1193.24000000,1193.25,258.0977,1672550399999,308031.62623200,695,119.13000000,142171.74413600,0
1672550400000,1193.24000000,1193.57000000,1193.13000000,1193.57,126.963,1672550699999,151495.73000900,560,58.20710000,69455.56845800,0
1672550700000,1193.56000000,1194.26000000,1193.56000000,1194.18,254.8268,1672550999999,304272.46474200,710,117.14300000,139859.61565700,0
1672551000000,1194.19000000,1194.26000000,1193.82000000,1193.96,146.0431,1672551299999,174373.33428900,494,37.34600000,44587.71821900,0
1672551300000,1193.97000000,1193.98000000,1193.52000000,1193.61,178.3183,1672551599999,212875.09548900,627,77.20730000,92165.73612400,0
1672551600000,1193.62000000,1194.10000000,1193.61000000,1194.1,217.16,1672551899999,259223.33700900,541,150.85890000,180081.94936500,0
1672551900000,1194.09000000,1194.35000000,1194.09000000,1194.34,68.4592,1672552199999,81756.96123100,510,46.79690000,55888.01914300,0
1672552200000,1194.35000000,1194.39000000,1194.25000000,1194.27,149.7918,1672552499999,178896.53713200,520,60.73560000,72536.39754500,0
1672552500000,1194.28000000,1194.67000000,1194.27000000,1194.54,302.0953,1672552799999,360852.12897000,819,178.97210000,213771.44777100,0
1672552800000,1194.55000000,1195.10000000,1194.54000000,1195.09,439.0142,1672553099999,524582.76883700,721,351.46680000,419971.25859800,0
1672553100000,1195.10000000,1195.23000000,1194.81000000,1195.0,343.8118,1672553399999,410873.56559200,866,118.16340000,141197.72924100,0
1672553400000,1195.01000000,1195.01000000,1193.97000000,1194.09,593.1846,1672553699999,708402.18891300,724,259.10090000,309395.27222800,0
1672553700000,1194.09000000,1194.92000000,1194.09000000,1194.89,469.9407,1672553999999,561289.72668800,1032,361.71800000,432006.53469700,0
1672554000000,1194.88000000,1194.89000000,1194.21000000,1194.32,391.0675,1672554299999,467151.16895900,1327,171.45390000,204791.84850900,0
1672554300000,1194.32000000,1194.76000000,1194.32000000,1194.6,207.8654,1672554599999,248290.32282800,1185,138.39130000,165298.23563900,0
1672554600000,1194.59000000,1194.60000000,1193.81000000,1193.94,231.7334,1672554899999,276737.46735900,1121,94.01170000,112264.69716400,0
1672554900000,1193.95000000,1194.11000000,1193.90000000,1193.95,170.0569,1672555199999,203048.99797700,982,79.12710000,94477.86460700,0
1672555200000,1193.96000000,1194.39000000,1193.95000000,1194.37,240.9917,1672555499999,287774.93139300,1119,190.90350000,227962.50449500,0
1672555500000,1194.36000000,1194.45000000,1194.14000000,1194.45,236.1867,1672555799999,282074.92999600,1057,125.28050000,149619.70878200,0
1672555800000,1194.45000000,1194.45000000,1194.11000000,1194.37,351.6048,1672556099999,419880.42378900,1035,278.81960000,332954.59439100,0
1672556100000,1194.37000000,1194.82000000,1194.28000000,1194.81,426.638,1672556399999,509677.95274600,1268,295.98190000,353586.69470300,0
1672556400000,1194.81000000,1195.18000000,1194.40000000,1194.41,589.9404,1672556699999,704962.64033600,800,293.60780000,350861.38115000,0
1672556700000,1194.41000000,1194.92000000,1193.91000000,1194.72,714.4373,1672556999999,853275.15013200,922,352.98240000,421552.10347700,0
1672557000000,1194.72000000,1194.72000000,1193.63000000,1194.37,370.8057,1672557299999,442798.95329800,809,145.96130000,174266.55332900,0
1672557300000,1194.36000000,1194.37000000,1193.04000000,1193.66,478.2069,1672557599999,570821.04972600,907,171.17550000,204301.23376300,0
1672557600000,1193.67000000,1193.67000000,1193.22000000,1193.32,411.2576,1672557899999,490852.37668400,737,182.47050000,217775.20985900,0
1672557900000,1193.31000000,1194.61000000,1193.16000000,1194.6,632.631,1672558199999,755102.75940100,894,467.45720000,557945.57430300,0
1672558200000,1194.61000000,1194.61000000,1194.23000000,1194.57,123.9535,1672558499999,148043.34842800,553,49.03990000,58570.12229800,0
1672558500000,1194.57000000,1194.78000000,1193.80000000,1194.78,385.272,1672558799999,460152.16857800,799,145.43910000,173691.00413800,0
1672558800000,1194.77000000,1195.17000000,1194.77000000,1195.16,401.5067,1672559099999,479792.33842000,835,286.39050000,342227.47307000,0
1672559100000,1195.16000000,1195.21000000,1195.11000000,1195.12,414.5379,1672559399999,495428.17377400,821,230.97930000,276050.33554900,0
1672559400000,1195.12000000,1195.75000000,1194.61000000,1194.91,920.0206,1672559699999,1099607.89631700,1312,493.00030000,589219.75691600,0
1672559700000,1194.92000000,1195.59000000,1194.91000000,1195.06,384.2002,1672559999999,459231.46848700,813,159.89540000,191117.62340300,0
1672560000000,1195.07000000,1195.90000000,1195.05000000,1195.9,650.6626,1672560299999,777883.84562400,902,386.70990000,462317.95744100,0
1672560300000,1195.90000000,1195.90000000,1194.84000000,1194.84,437.0426,1672560599999,522486.09225700,706,33.83820000,40454.35575300,0
1672560600000,1194.85000000,1194.85000000,1194.50000000,1194.51,178.733,1672560899999,213540.75864500,563,44.89240000,53637.08898800,0
1672560900000,1194.50000000,1195.42000000,1194.38000000,1195.32,315.562,1672561199999,377025.23319400,671,225.70730000,269661.88068500,0
1672561200000,1195.31000000,1195.35000000,1194.93000000,1195.35,174.6242,1672561499999,208708.62834100,561,100.61970000,120256.86097600,0
1672561500000,1195.34000000,1195.55000000,1195.27000000,1195.28,162.364,1672561799999,194092.30651000,621,55.84810000,66761.84923000,0
1672561800000,1195.27000000,1195.55000000,1195.23000000,1195.4,273.0842,1672562099999,326428.70302600,668,155.95600000,186415.44268200,0
1672562100000,1195.39000000,1195.40000000,1195.11000000,1195.11,103.7672,1672562399999,124029.02113500,603,37.75310000,45122.98370600,0
1672562400000,1195.11000000,1195.39000000,1194.24000000,1194.29,242.3506,1672562699999,289567.45891700,696,128.52220000,153554.59850300,0
1672562700000,1194.30000000,1194.68000000,1194.29000000,1194.68,131.1465,1672562999999,156651.10110000,611,108.42460000,129508.92781500,0
1672563000000,1194.67000000,1194.68000000,1194.17000000,1194.47,337.6797,1672563299999,403298.11223800,816,190.27690000,227241.20068900,0
1672563300000,1194.48000000,1194.48000000,1194.23000000,1194.28,117.5856,1672563599999,140438.58644200,546,39.59810000,47291.31090600,0
1672563600000,1194.27000000,1194.28000000,1194.01000000,1194.01,248.7749,1672563899999,297078.71698600,652,75.56590000,90242.80409900,0
1672563900000,1194.02000000,1194.14000000,1193.98000000,1194.08,243.4122,1672564199999,290640.13115500,796,155.84790000,186085.50171800,0
1672564200000,1194.08000000,1194.58000000,1194.08000000,1194.57,265.5183,1672564499999,317127.63329100,861,170.17720000,203247.78706600,0
1672564500000,1194.56000000,1194.70000000,1194.56000000,1194.69,114.6005,1672564799999,136911.92339900,575,78.46390000,93739.92101100,0
1672564800000,1194.70000000,1195.46000000,1194.69000000,1195.45,384.6689,1672565099999,459718.05668300,793,247.56010000,295846.89089900,0
1672565100000,1195.46000000,1195.62000000,1194.76000000,1194.76,317.8927,1672565399999,379992.39299400,666,107.43920000,128432.20415900,0
1672565400000,1194.76000000,1195.16000000,1194.76000000,1195.15,122.6607,1672565699999,146571.02485800,592,95.38870000,113980.86559900,0
1672565700000,1195.15000000,1195.24000000,1195.15000000,1195.16,131.7155,1672565999999,157425.29767100,558,75.15000000,89817.80761300,0
1672566000000,1195.15000000,1195.99000000,1195.15000000,1195.98,196.6146,1672566299999,235050.25986900,631,175.16590000,209408.34544900,0
1672566300000,1195.98000000,1196.10000000,1195.60000000,1195.8,275.3943,1672566599999,329325.58735300,750,109.75780000,131238.25210100,0
1672566600000,1195.80000000,1196.21000000,1195.79000000,1196.07,196.3642,1672566899999,234857.41872700,717,88.10230000,105365.59140300,0
1672566900000,1196.08000000,1196.55000000,1196.01000000,1196.48,266.331,1672567199999,318615.53008100,861,119.54300000,143000.76565800,0
